GRANT_ID__C,AMOUNT_APPROVED__C,AWARD_LETTER_SENT__C,AWARD_LETTER_SIGNED__C,PAYMENT_STATUS__C,GRANT_START_DATE__C,PROGRAM__C,GRANT_END_DATE__C,GRANT_STATUS__C,GRANTED_INSTITUTION__C,DISBURSEMENT_REQUEST_AMOUNT__C
9948-12,9700,2013-03-11,2013-03-19,Paid,2013-03-01,Sustainable Vision,2014-08-31,Funded,Art Center College of Design,9700
10027-12,32142,2013-03-11,2013-04-08,Paid,2012-03-01,Sustainable Vision,2018-08-31,Funded,Villanova University,32142
10074-12,37040,2013-03-11,2013-05-13,Paid,2013-03-01,Sustainable Vision,2016-06-30,Funded,Arizona State University at the Polytechnic Campus,37040
10075-12,43790,2013-03-11,2013-05-02,Paid,2013-03-01,Sustainable Vision,2016-08-31,Funded,Texas A & M University,43790
