NAME,RECORDTYPEID,ALIAS__C,Zenn ID
Designing Technology Platforms for Youth in Uganda (Planning Grant),012390000009qKOAAY,,NA
Development of Joint Villanova/UNI Courses for Developing Sustainable Technologies for Rural Nicaraguansoduct Development to Improve the Lives of Rural Nicaraguans,012390000009qKOAAY,Development of Joint Villanova/UNI Courses for Developing Sustainable Technologies for Rural Nicaraguansoduct Development to Improve the Lives of Rural Nicaraguans,NA
Co-Creating Water & Sanitation Courses and Providing Immersive & Collaborative E-Team Learning Opportunities for ASU and IIT Delhi Students,012390000009qKOAAY,Co-Creating Water & Sanitation Courses and Providing Immersive & Collaborative E-Team Learning Opportunities for ASU and IIT Delhi Students,NA
Innovative Design to Improve Public Health with a Global Perspective,012390000009qKOAAY,,NA
"Building New Programs in Invention, Innovation and Entrepreneurship in Food Security",012390000009qKOAAY,"Building New Programs in Invention, Innovation and Entrepreneurship in Food Security",NA
Dual Training Labs for Clean Water and Renewable Energy,012390000009qKOAAY,,NA
Keystone Course: Appropriate Technology for Sustainable Development,012390000009qKOAAY,,NA
Dialogue of Innovation,012390000009qKOAAY,,NA
CCEW Social Entrepreneurship Program,012390000009qKOAAY,,NA
Connecting People and Developing Business Skills With Community ICT Networks,012390000009qKOAAY,,NA
Getting it Out There -- Actualization and Expansion of Work Already Done,012390000009qKOAAY,,NA
TIPeD Semester Course Grant,012390000009qKOAAY,,NA
SV RFP Test,012390000009qKOAAY,,NA
Design and Action for Rural Energy Solutions (the DARES Network),012390000009qKOAAY,,NA
Design for Scale,012390000009qKOAAY,,NA
Renewable Energy Curriculum Development Course for Tribal Colleges,012390000009qKOAAY,,NA
Tech Business Incubator: The Gambia,012390000009qKOAAY,,NA
Social Technology Exchange (STE),012390000009qKOAAY,,NA
Capacity Building for Solar Energy Entrepreneurship in Mozambique,012390000009qKOAAY,,NA
Multidisciplinary Social Entrepreneurship in Humanitarian Technology,012390000009qKOAAY,,NA
Social Entrepreneurship Concentration,012390000009qKOAAY,,NA
"Improving the Processing of Teff in the Village of Simbo, Ethiopia",012390000009qKOAAY,,NA
SSU Sustainable Vision Program,012390000009qKOAAY,,NA
US-Ugandan Energy Education E-Team,012390000009qKOAAY,,NA
GSVC Platform,012390000009qKOAAY,,NA
GSVC Boot Camp,012390000009qKOAAY,,NA
From Charity to Sustainability: Clean Water Distribution in the Dominican Republic,012390000009qKOAAY,From Charity to Sustainability: Clean Water Distribution in the Dominican Republic,NA
E-Teams for Scalable and Sustainable Technological Irrigation in Peru,012390000009qKOAAY,,NA
Innovations for Energy Entrepreneurship,012390000009qKOAAY,,NA
Aquaponics and Sustainable Agriculture,012390000009qKOAAY,,NA
"Social Entrepreneurship and Infrastructure Capacity Building in Kanembwe Village, Rwanda",012390000009qKOAAY,"Social Entrepreneurship and Infrastructure Capacity Building in Kanembwe Village, Rwanda",NA
Resilient Electricity Systems,012390000009qKOAAY,,NA
Global Citizen Project,012390000009qKOAAY,,NA
US-Ugandan Energy Education E-Team,012390000009qKOAAY,,NA
